Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
55.99302837,-9.798623657,-0.043559418,0.980910187
56.01303637,-9.782457275,-0.02335144,0.990340576
56.03304537,-9.803862762,-0.034278717,0.986298981
56.05305437,-9.782457275,-0.023201752,0.974024506
56.07306337,-9.797875214,-0.028141479,0.98405365
56.09307237,-9.779313812,-0.029039612,0.975222015
56.11308137,-9.78889389,-0.028440857,0.971779175
56.13309037,-9.781708832,-0.021704865,0.980161743
56.15309837,-9.78545105,-0.025147705,0.988394623
56.17310737,-9.776769104,-0.030835876,0.994681549
56.19311637,-9.769584045,-0.010627899,0.993633728
56.21312537,-9.785151672,-0.025596771,0.988244934
56.23313437,-9.776619415,-0.022602997,0.98165863
56.25314337,-9.810149689,-0.028740234,0.979712677
56.27315237,-9.783205719,-0.021854553,0.981059875
56.29316137,-9.796977081,-0.037571869,0.980161743
56.31316937,-9.779463501,-0.02110611,0.985849915
56.33317837,-9.797575836,-0.037721558,0.979712677
56.35318737,-9.780511322,-0.023052063,0.982257385
56.37319637,-9.795031128,-0.036074982,0.988394623
56.39320537,-9.787846069,-0.032632141,0.987197113
56.41321437,-9.785151672,-0.026345215,0.977317657
56.43322337,-9.787097626,-0.022902374,0.981958008
56.45323137,-9.787097626,-0.032632141,0.976718903
56.47324037,-9.771979065,-0.013771362,0.984951782
56.49324937,-9.778565369,-0.023052063,0.979862366
56.51325837,-9.786798248,-0.027991791,0.986598358
56.53326737,-9.780960388,-0.035476227,0.98405365
56.55327637,-9.784552917,-0.030835876,0.978814545
56.57328537,-9.788145447,-0.023650818,0.995130615
56.59329337,-9.80296463,-0.023800507,0.979562988
56.61330237,-9.778715057,-0.025447083,0.984502716
56.63331137,-9.79832428,-0.036823425,0.993783417
56.65332037,-9.774374084,-0.027093658,0.983903961
56.67332937,-9.800868988,-0.036823425,0.987945557
56.693342,-9.777816925,-0.025596771,0.990190887
56.713351,-9.792636108,-0.032931519,0.972078552
56.733359,-9.773625641,-0.02335144,0.970731354
56.753368,-9.781110077,-0.029039612,0.990041199
56.773377,-9.770033112,-0.035625916,0.973725128
56.793386,-9.780361633,-0.026195526,0.987646179
56.813395,-9.79473175,-0.024998016,0.984502716
56.833404,-9.789642334,-0.022153931,0.987346802
56.853413,-9.801018677,-0.030536499,0.985101471
56.873422,-9.783954163,-0.027243347,0.986598358
56.89343,-9.796827393,-0.028590546,0.991538086
56.913439,-9.782157898,-0.017064514,0.989143066
56.933448,-9.786798248,-0.03742218,0.990340576
56.953457,-9.784552917,-0.026345215,0.982257385
56.973466,-9.793234863,-0.032033386,0.987197113
56.993475,-9.770931244,-0.025447083,0.984502716
57.013484,-9.790839844,-0.027093658,0.98285614
57.033492,-9.779463501,-0.01526825,0.983754272
57.053501,-9.780960388,-0.032632141,0.974922638
57.07351,-9.770332489,-0.017962646,0.972826996
57.093519,-9.777966614,-0.031135254,0.991538086
57.113528,-9.779313812,-0.033081207,0.99692688
57.133537,-9.785600739,-0.025447083,0.977916412
57.153546,-9.79592926,-0.035775604,0.988993378
57.173555,-9.782606964,-0.026494904,0.988394623
57.193563,-9.807006226,-0.036074982,0.991238708
57.213572,-9.786498871,-0.030087433,0.987346802
57.233581,-9.796677704,-0.039368134,0.988694
57.25359,-9.789342957,-0.029638367,0.980910187
57.273599,-9.79248642,-0.027542725,0.98285614
57.293608,-9.77841568,-0.022004242,0.975671082
57.313617,-9.794881439,-0.036374359,0.980161743
57.333625,-9.777966614,-0.020058289,0.980012054
57.353634,-9.78545105,-0.026345215,0.973126373
57.373643,-9.777816925,-0.019459534,0.984802094
57.393652,-9.787846069,-0.016615448,0.984203339
57.413661,-9.784103851,-0.032033386,0.986298981
57.43367,-9.776619415,-0.024698639,0.984353027
57.453679,-9.792336731,-0.030985565,0.985400848
57.473688,-9.779912567,-0.027692413,0.97701828
57.493696,-9.797276459,-0.034129028,0.977916412
57.513705,-9.780062256,-0.027692413,0.980311432
57.533714,-9.797725525,-0.035027161,0.988843689
57.553723,-9.781858521,-0.016765137,0.983005829
57.573732,-9.796078949,-0.028740234,0.979263611
57.593741,-9.775571594,-0.019160156,0.979263611
57.61375,-9.79712677,-0.040266266,0.988244934
57.633759,-9.785001984,-0.0199086,0.965641937
57.653767,-9.784852295,-0.040266266,0.977317657
57.673776,-9.775421906,-0.007334747,0.973425751
57.69378075,-9.781110077,-0.02454895,0.987197113
57.71378975,-9.781858521,-0.023501129,0.974922638
57.73379875,-9.775421906,-0.029937744,0.990939331
57.75380775,-9.787247314,-0.033380585,0.984951782
57.77381675,-9.783804474,-0.013771362,0.973575439
57.79382575,-9.798473969,-0.035476227,0.974174194
57.81383475,-9.777367859,-0.022303619,0.991687775
57.83384275,-9.802814941,-0.032482452,0.982107697
57.85385175,-9.776170349,-0.029189301,0.975521393
57.87386075,-9.795779572,-0.035476227,0.991388397
57.89386975,-9.780211945,-0.018411713,0.968336334
57.91387875,-9.787696381,-0.027991791,0.988694
57.93388775,-9.769584045,-0.020507355,0.975072327
57.95389675,-9.799072723,-0.029189301,0.971330109
57.97390575,-9.778715057,-0.024698639,0.984802094
57.99391475,-9.779762878,-0.034129028,0.985400848
58.01392275,-9.775421906,-0.024099884,0.988394623
58.03393175,-9.778864746,-0.028740234,0.984802094
58.05394075,-9.792935486,-0.029788055,0.990789642
58.07394975,-9.776170349,-0.034428406,0.991837463
58.09395875,-9.793534241,-0.030835876,0.975671082
58.11396775,-9.787846069,-0.025147705,0.97821579
58.13397675,-9.800419922,-0.038470001,0.968336334
58.15398575,-9.772877197,-0.026494904,0.977467346
58.17399475,-9.796677704,-0.033530273,0.979562988
58.19400375,-9.776769104,-0.017214203,0.975371704
58.21401175,-9.797575836,-0.03158432,0.982107697
58.23402075,-9.779313812,-0.016465759,0.987795868
58.25402975,-9.786049805,-0.035625916,0.980610809
58.27403875,-9.774673462,-0.02694397,0.976868591
58.29404775,-9.779762878,-0.034428406,0.986448669
58.31405675,-9.775721283,-0.016765137,0.981059875
58.33406575,-9.778715057,-0.016016693,0.98405365
58.35407475,-9.787097626,-0.032033386,0.978515167
58.37408375,-9.779463501,-0.031434631,0.983155518
58.39409175,-9.793983307,-0.03158432,0.979712677
58.41410075,-9.773026886,-0.027692413,0.991238708
58.43410975,-9.788145447,-0.030536499,0.976419525
58.45411875,-9.792037354,-0.025896149,0.981059875
58.47412775,-9.803862762,-0.037721558,0.973126373
58.49413675,-9.785151672,-0.023052063,0.976120148
58.51414575,-9.793234863,-0.029788055,0.985550537
58.53415475,-9.776769104,-0.022303619,0.973126373
58.55416375,-9.795180817,-0.033829651,0.97118042
58.57417275,-9.777816925,-0.022453308,0.971629486
58.59418175,-9.785301361,-0.026794281,0.974024506
58.61418975,-9.781259766,-0.028141479,0.97821579
58.63419875,-9.774224396,-0.038320313,0.984502716
58.65420775,-9.774972839,-0.030237122,0.970881042
58.67421675,-9.785151672,-0.026195526,0.988095245
58.69422929,-9.792037354,-0.037571869,0.965492249
58.71423829,-9.78425354,-0.023201752,0.975970459
58.73424729,-9.79473175,-0.031734009,0.965791626
58.75425629,-9.779912567,-0.019010468,0.969084778
58.77426529,-9.801318054,-0.035925293,0.956810303
58.79427429,-9.777068481,-0.025297394,0.962049408
58.81428329,-9.801318054,-0.03158432,0.962199097
58.83429229,-9.775870972,-0.017064514,0.95246933
58.85430129,-9.780960388,-0.024848328,0.981808319
58.87431029,-9.781409454,-0.022752686,0.968635712
58.89431829,-9.793683929,-0.021555176,0.957558746
58.91432729,-9.774374084,-0.030686188,0.957409058
58.93433629,-9.781259766,-0.038919067,0.976120148
58.95434529,-9.778565369,-0.032332764,0.962797852
58.97435429,-9.787546692,-0.026644592,0.971928864
58.99436329,-9.791887665,-0.031883698,0.963396606
59.01437229,-9.786049805,-0.026494904,0.961450653
59.03438129,-9.794582062,-0.022153931,0.968486023
59.05439029,-9.786947937,-0.02574646,0.960402832
59.07439929,-9.791887665,-0.032632141,0.953517151
59.09440829,-9.785600739,-0.016465759,0.95591217
59.11441729,-9.80760498,-0.036524048,0.969234467
59.13442629,-9.781110077,-0.024848328,0.965791626
59.15443529,-9.794132996,-0.02335144,0.960552521
59.17444429,-9.775870972,-0.017363892,0.966839447
59.19445329,-9.79473175,-0.027991791,0.970431976
59.21446229,-9.777966614,-0.022004242,0.958007813
59.23447129,-9.780361633,-0.029937744,0.955313416
59.25448029,-9.784702606,-0.0199086,0.958905945
59.27449029,-9.782157898,-0.028889923,0.956361237
59.29449929,-9.785900116,-0.023650818,0.957708435
59.31450829,-9.782307587,-0.027093658,0.961600342
59.33451729,-9.786798248,-0.019309845,0.953816528
59.35452629,-9.782157898,-0.025896149,0.957409058
59.37453529,-9.799222412,-0.034428406,0.96414505
59.39454429,-9.779164124,-0.019758911,0.956959991
59.41455329,-9.79832428,-0.025147705,0.972228241
59.43456229,-9.78545105,-0.026644592,0.96294754
59.45457129,-9.800120544,-0.039068756,0.955612793
59.47458029,-9.774374084,-0.023052063,0.958756256
59.49458929,-9.783355408,-0.019758911,0.9595047
59.51459829,-9.775721283,-0.024249573,0.960702209
59.53460829,-9.780511322,-0.029189301,0.97701828
59.55461729,-9.782008209,-0.03278183,0.968635712
59.57462629,-9.782756653,-0.027093658,0.967887268
59.59463529,-9.782157898,-0.038170624,0.964743805
59.61464429,-9.77602066,-0.025297394,0.989292755
59.63465329,-9.796827393,-0.020058289,0.966240692
59.65466229,-9.781708832,-0.022902374,0.969683533
59.67467129,-9.805509338,-0.028291168,0.976868591
59.69467692,-9.779912567,-0.021255798,0.971779175
59.71468692,-9.794282684,-0.033081207,0.954864349
59.73469592,-9.780361633,-0.018112335,0.973425751
59.75470492,-9.789792023,-0.037871246,0.964893494
59.77471392,-9.770781555,-0.023501129,0.973725128
59.79472292,-9.778565369,-0.036074982,0.969384155
59.81473192,-9.768835602,-0.020657043,0.967887268
59.83474092,-9.778715057,-0.026345215,0.970431976
59.85475092,-9.771679688,-0.023201752,0.966839447
59.87475992,-9.779762878,-0.03278183,0.987945557
59.89476892,-9.77961319,-0.029638367,0.974473572
59.91477792,-9.781708832,-0.029937744,0.970731354
59.93478692,-9.788444824,-0.028291168,0.972527618
59.95479592,-9.782307587,-0.02110611,0.983903961
59.97480492,-9.796228638,-0.026345215,0.967887268
59.99481492,-9.772278442,-0.022153931,0.9687854
60.01482392,-9.793983307,-0.027842102,0.981359253
60.03483292,-9.771829376,-0.036524048,0.972677307
60.05484192,-9.794881439,-0.038170624,0.966989136
60.07485092,-9.784103851,-0.017962646,0.963396606
60.09485992,-9.798174591,-0.033530273,0.973126373
60.11486992,-9.782457275,-0.013921051,0.979263611
60.13487892,-9.789193268,-0.026195526,0.976419525
60.15488792,-9.784702606,-0.026195526,0.969533844
60.17489692,-9.795031128,-0.028291168,0.975671082
60.19490592,-9.792336731,-0.030835876,0.971330109
60.21491492,-9.793384552,-0.025596771,0.971928864
60.23492492,-9.792336731,-0.030985565,0.972078552
60.25493392,-9.776918793,-0.016914825,0.985849915
60.27494292,-9.800120544,-0.027243347,0.975671082
